time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,epochs,batch_size,train_second,first_loss,last_loss,test_loss,r2_score,train_ration
2026-09-04 13:36:52,multi_repeat_random_states.py,"(1021, 9)",515,sequential_179,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_179,50,256,2.2618,44308.12109375,5015.10546875,4837.70166015625,0.26749394187743547,0.7
2026-09-04 13:36:53,multi_repeat_random_states.py,"(1021, 9)",682,sequential_178,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_178,50,256,1.4407,3389.81982421875,3105.20849609375,2800.375,0.579281773790321,0.7
2026-09-04 13:36:53,multi_repeat_random_states.py,"(1021, 9)",599,sequential_179,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_179,50,256,2.2652,43871.7421875,3257.905517578125,4165.6328125,0.45102770197817255,0.7
2026-09-04 13:36:54,multi_repeat_random_states.py,"(1021, 9)",515,sequential_179,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_179,50,256,1.4352,4935.02685546875,2969.120361328125,3228.52880859375,0.5111487381034318,0.7
2026-09-04 13:36:55,multi_repeat_random_states.py,"(1021, 9)",599,sequential_179,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_179,50,256,1.4223,3240.108642578125,2641.262939453125,3882.78076171875,0.48830375054171604,0.7
2026-09-04 13:36:55,multi_repeat_random_states.py,"(1021, 9)",515,sequential_179,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_179,50,256,1.3966,2954.30517578125,3617.892822265625,2891.101806640625,0.5622405277113207,0.7
2026-09-04 13:36:55,multi_repeat_random_states.py,"(1021, 9)",683,sequential_179,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_179,50,256,2.257,66239.8984375,5613.91162109375,5168.54150390625,0.23600676727998848,0.7
2026-09-04 13:36:56,multi_repeat_random_states.py,"(1021, 9)",599,sequential_179,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_179,50,256,1.4768,2678.705322265625,2625.86865234375,3579.62060546875,0.5282558930669372,0.7
2026-09-04 13:36:57,multi_repeat_random_states.py,"(1021, 9)",683,sequential_179,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_179,50,256,1.4152,5624.3623046875,2932.388427734375,2733.629638671875,0.5959257737529627,0.7
2026-09-04 13:36:58,multi_repeat_random_states.py,"(1021, 9)",516,sequential_180,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_180,50,256,2.2777,106980.0859375,5845.921875,5616.24267578125,0.10404485801711416,0.7
2026-09-04 13:36:58,multi_repeat_random_states.py,"(1021, 9)",683,sequential_179,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_179,50,256,1.4234,3061.4814453125,3238.270751953125,2742.725830078125,0.5945812235967518,0.7
2026-09-04 13:36:59,multi_repeat_random_states.py,"(1021, 9)",600,sequential_180,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_180,50,256,2.3141,47017.921875,4376.18310546875,4969.6767578125,0.31795251156795123,0.7
2026-09-04 13:36:59,multi_repeat_random_states.py,"(1021, 9)",516,sequential_180,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_180,50,256,1.4479,5827.681640625,2978.6337890625,2957.62841796875,0.5281717028463576,0.7
2026-09-04 13:37:01,multi_repeat_random_states.py,"(1021, 9)",600,sequential_180,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_180,50,256,1.3951,4288.443359375,3276.51513671875,3274.634765625,0.5505831337964647,0.7
2026-09-04 13:37:01,multi_repeat_random_states.py,"(1021, 9)",516,sequential_180,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_180,50,256,1.4422,3019.57666015625,2981.674560546875,3092.104248046875,0.5067188728261682,0.7
2026-09-04 13:37:01,multi_repeat_random_states.py,"(1021, 9)",684,sequential_180,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_180,50,256,2.259,21422.69921875,5092.29296875,4084.731201171875,0.36103552256647664,0.7
2026-09-04 13:37:02,multi_repeat_random_states.py,"(1021, 9)",600,sequential_180,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_180,50,256,1.3804,3283.790771484375,2988.734130859375,3022.193603515625,0.585228658377781,0.7
2026-09-04 13:37:02,multi_repeat_random_states.py,"(1021, 9)",684,sequential_180,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_180,50,256,1.388,4785.5322265625,3310.64501953125,3288.60693359375,0.48557123095573707,0.7
