time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,epochs,batch_size,train_second,first_loss,last_loss,test_loss,sub_score,train_ration,total_params
2026-09-18 14:11:05,keras44_ImageDataGenerator2.py,"(160, 150, 150, 1)",0,sequential,Conv2D 64[3x3] -> 32[3x3](relu) -> Dropout (0.2) -> MaxPooling2D 32 -> Dropout (0.1) -> Conv2D 32[2x2] -> 64[4x4](relu) -> Dropout (0.2) -> MaxPooling2D 64 -> Dropout (0.1) -> Conv2D 64[2x2](relu) -> Dropout (0.3) -> Conv2D 128[2x2](relu) -> GlobalAveragePooling2D 128 -> Dense 256(relu) -> Dropout (0.3) -> Dense 128(relu) -> Dropout (0.2) -> Dense 128 -> 128(relu) -> Dropout (0.2) -> Dense 32(relu) -> 1(sigmoid),binary_crossentropy,Adam,298,8,77.6495,0.6951329112052917,0.6987779140472412,0.6568232178688049,0.6333333333333333,0,208513
2026-09-18 14:12:21,keras44_ImageDataGenerator2.py,"(160, 150, 150, 1)",0,sequential,Conv2D 64[3x3] -> 32[3x3](relu) -> Dropout (0.2) -> MaxPooling2D 32 -> Dropout (0.1) -> Conv2D 32[2x2] -> 64[4x4](relu) -> Dropout (0.2) -> MaxPooling2D 64 -> Dropout (0.1) -> Conv2D 64[2x2](relu) -> Dropout (0.3) -> Conv2D 128[2x2](relu) -> GlobalAveragePooling2D 128 -> Dense 256(relu) -> Dropout (0.3) -> Dense 128(relu) -> Dropout (0.2) -> Dense 32(relu) -> 1(sigmoid),binary_crossentropy,Adam,101,8,27.4981,0.6920140981674194,0.6931466460227966,0.6926435828208923,0.5,0,175489
2026-09-18 14:13:43,keras44_ImageDataGenerator2.py,"(160, 150, 150, 1)",0,sequential,Conv2D 64[3x3] -> 32[3x3](relu) -> Dropout (0.2) -> MaxPooling2D 32 -> Dropout (0.1) -> Conv2D 64[4x4](relu) -> Dropout (0.2) -> Conv2D 64[2x2](relu) -> Dropout (0.3) -> Conv2D 128[2x2](relu) -> GlobalAveragePooling2D 128 -> Dense 256(relu) -> Dropout (0.3) -> Dense 128(relu) -> Dropout (0.2) -> Dense 32(relu) -> 1(sigmoid),binary_crossentropy,Adam,138,8,39.7143,0.6931238770484924,0.6942287087440491,0.69330894947052,0.5,0,171361
2026-09-18 14:17:06,keras44_ImageDataGenerator2.py,"(160, 150, 150, 1)",0,sequential,Conv2D 64[3x3] -> 32[3x3](relu) -> Dropout (0.2) -> MaxPooling2D 32 -> Dropout (0.1) -> Conv2D 64[4x4](relu) -> Dropout (0.2) -> Conv2D 64[2x2](relu) -> Dropout (0.3) -> Conv2D 32[2x2](relu) -> GlobalAveragePooling2D 32 -> Dense 64(relu) -> Dropout (0.3) -> Dense 128(relu) -> Dropout (0.2) -> Dense 32(relu) -> 1(sigmoid),binary_crossentropy,Adam,695,16,159.8405,0.7105810046195984,0.33644595742225647,0.39590370655059814,0.8666666666666667,0,91201
2026-09-18 14:20:19,keras44_ImageDataGenerator2.py,"(160, 150, 150, 1)",0,sequential,Conv2D 64[3x3] -> 32[3x3](relu) -> Dropout (0.2) -> MaxPooling2D 32 -> Dropout (0.1) -> Conv2D 32[2x2](relu) -> 64[4x4](relu) -> Dropout (0.2) -> MaxPooling2D 64 -> Dropout (0.1) -> Conv2D 64[2x2](relu) -> Dropout (0.3) -> Conv2D 128[2x2](relu) -> GlobalAveragePooling2D 128 -> Dense 64(relu) -> Dropout (0.3) -> Dense 32(relu) -> Dropout (0.2) -> Dense 32(relu) -> 1(sigmoid),binary_crossentropy,Adam,101,16,24.7735,0.6931881308555603,0.6963543891906738,0.6931365728378296,0.5,0,116833
2026-09-18 14:20:59,keras44_ImageDataGenerator2.py,"(160, 150, 150, 1)",0,sequential,Conv2D 64[3x3] -> 32[3x3](relu) -> Dropout (0.2) -> MaxPooling2D 32 -> Dropout (0.1) -> Conv2D 32[2x2](relu) -> 64[4x4](relu) -> Dropout (0.2) -> MaxPooling2D 64 -> Dropout (0.1) -> Conv2D 64[2x2](relu) -> Dropout (0.3) -> Conv2D 128[2x2](relu) -> GlobalAveragePooling2D 128 -> Dense 256(relu) -> Dropout (0.3) -> Dense 32(relu) -> 32(relu) -> 1(sigmoid),binary_crossentropy,Adam,116,16,27.6681,0.6947546005249023,0.723304271697998,0.6931158900260925,0.5,0,147745
2026-09-18 14:24:40,keras44_ImageDataGenerator2.py,"(160, 150, 150, 1)",0,sequential,Conv2D 64[3x3] -> 32[3x3](relu) -> Dropout (0.2) -> MaxPooling2D 32 -> Dropout (0.1) -> Conv2D 32[2x2](relu) -> 64[4x4](relu) -> Dropout (0.2) -> MaxPooling2D 64 -> Dropout (0.1) -> Conv2D 64[2x2](relu) -> Dropout (0.3) -> Conv2D 128[2x2](relu) -> GlobalAveragePooling2D 128 -> Dense 256(relu) -> Dropout (0.3) -> Dense 32(relu) -> 32(relu) -> 1(sigmoid),binary_crossentropy,Adam,318,16,70.5455,0.6964115500450134,0.3931718170642853,0.13242356479167938,0.9666666666666667,0,147745
2026-09-18 14:27:03,keras44_ImageDataGenerator2.py,"(160, 150, 150, 1)",0,sequential,Conv2D 64[3x3] -> 32[3x3](relu) -> Dropout (0.2) -> MaxPooling2D 32 -> Dropout (0.1) -> Conv2D 32[2x2](relu) -> 64[4x4](relu) -> Dropout (0.2) -> MaxPooling2D 64 -> Dropout (0.1) -> Conv2D 64[2x2](relu) -> Dropout (0.3) -> Conv2D 128[2x2](relu) -> GlobalAveragePooling2D 128 -> Dense 128(relu) -> Dropout (0.3) -> Dense 64(relu) -> 32(relu) -> 1(sigmoid),binary_crossentropy,Adam,386,16,85.8073,0.6939346194267273,0.5530901551246643,0.247563898563385,0.9,0,132289
2026-09-18 14:28:41,keras44_ImageDataGenerator2.py,"(160, 150, 150, 1)",0,sequential,Conv2D 64[3x3] -> 32[3x3](relu) -> Dropout (0.2) -> MaxPooling2D 32 -> Dropout (0.1) -> Conv2D 32[2x2](relu) -> 64[4x4](relu) -> Dropout (0.2) -> MaxPooling2D 64 -> Dropout (0.1) -> Conv2D 64[2x2](relu) -> Dropout (0.3) -> Conv2D 32[2x2](relu) -> Flatten 32768 -> Dense 128(relu) -> Dropout (0.3) -> Dense 64(relu) -> 32(relu) -> 1(sigmoid),binary_crossentropy,Adam,400,16,89.6206,0.6969571113586426,0.7153334021568298,0.09686872363090515,0.9833333333333333,0,4285537
2026-09-18 14:30:30,keras44_ImageDataGenerator2.py,"(160, 150, 150, 1)",0,sequential,Conv2D 64[3x3] -> 32[3x3](relu) -> Dropout (0.2) -> MaxPooling2D 32 -> Dropout (0.1) -> Conv2D 32[2x2](relu) -> 64[4x4](relu) -> Dropout (0.2) -> MaxPooling2D 64 -> Dropout (0.1) -> Conv2D 64[2x2](relu) -> Dropout (0.3) -> Conv2D 32[2x2](relu) -> Flatten 32768 -> Dense 128(relu) -> Dropout (0.3) -> Dense 32(relu) -> 1(sigmoid),binary_crossentropy,Adam,177,16,40.6192,0.6930708885192871,0.18792478740215302,0.1304415911436081,0.95,0,4279329
