time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,epochs,batch_size,train_second,first loss,last loss,test_loss,r2_score,train_ration
2026-09-04 12:50:22,multi_repeat_random_states.py,"(1021, 9)",716,sequential_212,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_212,50,256,2.2671,47248.1953125,4414.296875,4298.98046875,0.3889334884808925,0.7
2026-09-04 12:50:22,multi_repeat_random_states.py,"(1021, 9)",632,sequential_212,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_212,50,256,1.4209,2820.51171875,2758.132080078125,3545.021240234375,0.5164782782154409,0.7
2026-09-04 12:50:22,multi_repeat_random_states.py,"(1021, 9)",549,sequential_213,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_213,50,256,2.2779,567110.0625,5932.701171875,6347.1396484375,0.09659774133413956,0.7
2026-09-04 12:50:23,multi_repeat_random_states.py,"(1021, 9)",716,sequential_212,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_212,50,256,1.4152,4399.74951171875,3005.354248046875,2800.58544921875,0.6019187042543053,0.7
2026-09-04 12:50:24,multi_repeat_random_states.py,"(1021, 9)",549,sequential_213,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_213,50,256,1.415,5914.22607421875,4656.9951171875,4931.578125,0.2980777291683775,0.7
2026-09-04 12:50:25,multi_repeat_random_states.py,"(1021, 9)",633,sequential_213,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_213,50,256,2.2665,44449.92578125,5234.619140625,5169.54150390625,0.283110612351981,0.7
2026-09-04 12:50:25,multi_repeat_random_states.py,"(1021, 9)",716,sequential_212,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_212,50,256,1.4081,3027.266845703125,3005.11376953125,2784.328857421875,0.6042294317215691,0.7
2026-09-04 12:50:25,multi_repeat_random_states.py,"(1021, 9)",549,sequential_213,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_213,50,256,1.4122,4609.728515625,2934.03369140625,3009.955810546875,0.5715864326270337,0.7
2026-09-04 12:50:26,multi_repeat_random_states.py,"(1021, 9)",633,sequential_213,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_213,50,256,1.4406,5099.6328125,3086.919677734375,2933.40478515625,0.593208296174293,0.7
2026-09-04 12:50:27,multi_repeat_random_states.py,"(1021, 9)",717,sequential_213,Dense 64 -> 16 -> 32 -> 64 -> 64 -> 32 -> 1,mse,adam_213,50,256,2.3302,15699.759765625,3636.394287109375,3337.10107421875,0.4843372148787065,0.7
